half_seconds	series1_bpm	series2_bpm	series3_bpm	series4_bpm
628	85.0841	101.074	62.9842	67.8217
629	86.1177	100.815	61.9422	71.5332
630	87.7395	100.671	61.1051	75.4708
631	89.2835	100.671	60.4879	77.4244
632	89.9091	100.671	61.0874	73.3045
633	89.6472	102.905	62.4795	73.3045
634	89.5488	102.905	62.0452	73.3045
635	89.6429	96.4238	60.653	73.3045
636	89.5433	99.8268	59.5734	73.3045
637	89.9871	97.9788	58.6358	73.3045
638	90.3614	102.074	58.6684	73.3045
639	90.1861	100.874	59.1298	73.3045
640	89.6683	100.874	58.1089	73.3045
641	88.7806	100.874	56.2424	73.3045
642	87.9897	94.7721	55.7029	56.0491
643	88.0348	93.8649	56.015	56.783
644	88.4809	91.706	56.9855	58.0541
645	88.4358	91.5335	59.3834	59.5255
646	87.788	90.5322	60.8404	59.8604
647	87.0264	90.0974	60.4731	59.9799
648	86.5921	89.8032	60.2866	59.3202
649	87.6148	89.0012	60.4081	58.503
